Subj,zygosity,Age,FE,Update_all,exp_all,fam_all,viv_all,neg_all,EEAll,learning_all,subjectivelearning,N_Correct_perc,Subj,FE,Gender,Age.Gender
33841,DZ,49,33.225,6.8,1.3,3.25,3.6,3.1,20.975,0.280148014,0.287189916,5,33841,33.225,1,49
33842,DZ,49,24.45,6.1,1.15,2.95,3.7,4.85,25.6,0.021070006,0.033515669,10,33842,24.45,1,49
34271,MZ,53,30.625,9.95,1.3,3.6,2.65,3.3,14.775,0.643607344,0.702844413,0,34271,30.625,1,53
34272,MZ,53,30.8,1.425,1.95,3.75,4,4.35,19.85,0.295589718,0.050297079,0,34272,30.8,1,53
50661,MZ,66,36.6,2.325,2.6,2.7,3,2.55,28.95,0.02127974,0.705008843,0,50661,36.6,1,66
50662,MZ,66,31.75,0.525,1.85,2.4,3.05,3.6,22,0.227811075,-0.058962564,5,50662,31.75,1,66
51091,DZ,67,38.475,11.275,1.3,1.15,3.3,5.75,15.525,0.711419941,0.645617546,5,51091,38.475,1,67
51092,DZ,67,29.775,4.675,1.5,1.8,4.5,4.45,24.325,-0.108033066,0.220442991,7.5,51092,29.775,1,67
52101,DZ,64,27.625,8.15,1.35,3.5,4.5,1.4,27.125,-0.177793901,0.286090332,2.5,52101,27.625,1,64
52102,DZ,64,18.1,5.8,1.45,2.6,1.9,2.3,31.55,-0.035700753,0.784039216,5,52102,18.1,1,64
52591,DZ,64,10.75,6.225,1.6,3.75,3.5,3.5,31.75,-0.068141105,0.876893333,2.5,52591,10.75,1,64
52592,DZ,64,19.625,3.675,1.6,2.25,2.25,1.95,27.575,-0.326484077,0.770317395,0,52592,19.625,1,64
52701,MZ,64,33.575,5.8,1.8,3.2,3.3,3.4,18.075,0.314396781,0.574894488,2.5,52701,33.575,1,64
52702,MZ,64,22.175,0.55,1.55,3.9,2.1,2.7,27.225,0.06175902,0.363359075,7.5,52702,22.175,1,64
52721,DZ,57,26.175,10.95,1.3,3.05,3.4,3.35,20.825,0.337372282,0.500554064,7.5,52721,26.175,1,57
52722,DZ,57,37.15,4.8,1.55,3.3,3.5,3.45,19.6,0.292287925,0.596276104,7.5,52722,37.15,1,57
52731,DZ,62,34.75,10.175,1.65,3.2,5.15,5.05,11.7,0.516007723,0.619765744,5,52731,34.75,1,62
52732,DZ,62,25.15,10.85,1.9,2.05,1.95,2.4,25.3,0.278228587,0.802374839,2.5,52732,25.15,1,62
53081,DZ,59,28.75,-0.575,1.35,1.2,2.5,3.8,19.2,0.253036903,-0.19190872,2.5,53081,28.75,1,59
53082,DZ,59,22.225,3.65,1.25,2.65,3.5,3.85,22.825,0.103782552,0.216705343,0,53082,22.225,1,59
53101,MZ,62,28.2,1.325,1.45,3.15,4.05,3.1,20.35,-0.279000318,-0.278790638,0,53101,28.2,1,62
53102,MZ,62,32.925,3.625,1.3,4.4,5.3,3.05,22.375,0.147180684,0.430650144,0,53102,32.925,1,62
53551,DZ,61,34.9,10.225,1.45,3.7,4.15,3.3,15.3,0.218502427,-0.318259559,0,53551,34.9,1,61
53552,DZ,61,37.425,0.2,1.5,3.75,2.25,4.65,12.375,0.276686941,0.763072906,0,53552,37.425,1,61
53561,DZ,65,37.45,16.225,1.55,2.25,4.6,4.2,17.3,0.327843974,0.720582761,5,53561,37.45,1,65
53562,DZ,65,36.175,0.025,1.6,1.8,2.45,2.45,16.125,0.024726866,-0.148638618,7.5,53562,36.175,1,65
53751,DZ,64,34.025,26.825,1.75,3.05,3.7,4.75,27.325,0.749385957,0.765347461,10,53751,34.025,1,64
53752,DZ,64,39.425,21.45,1.65,2.8,5.6,5.7,22.375,0.809468323,0.621219595,2.5,53752,39.425,1,64
53791,DZ,44,33.375,-0.275,1.55,2.15,1.9,2.25,14.425,0.235128153,0.333760087,0,53791,33.375,1,44
53792,DZ,44,31.3,5.55,1.3,4.3,3.45,5.15,24.3,0.051073359,-0.325488682,0,53792,31.3,1,44
53981,MZ,60,36.075,6.6,1.35,2.35,2.7,3.8,12.475,0.532796136,0.779174361,5,53981,36.075,1,60
53982,MZ,60,36.525,11.8,1.5,2.3,2.1,5.5,15.675,0.764636508,0.842800671,5,53982,36.525,1,60
54661,DZ,68,55.525,6.175,1.55,2.75,4,2.25,19.725,0.037957471,0.622087989,0,54661,55.525,1,68
54662,DZ,68,26.225,1.1,1.6,1.5,2.05,4.75,22.375,0.028518357,0.474892931,0,54662,26.225,1,68
